!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
tranylcypromine hydrochloride	Launched	monoamine oxidase inhibitor	KDM1A | MAOA | MAOB	neurology/psychiatry	depression
tranylcypromine sulfate	Launched	monoamine oxidase inhibitor	KDM1A | MAOA | MAOB	neurology/psychiatry	depression
trap-101	Preclinical	nociceptin/orphanin FQ receptor antagonist | opioid receptor antagonist	OPRL1		
trapidil	Launched	PDGFR tyrosine kinase receptor inhibitor	PDGFRA	cardiology	coronary artery disease (CAD)
travoprost	Launched	prostanoid receptor agonist	PTGFR	ophthalmology | ophthalmology	glaucoma | ocular hypertension
traxoprodil	Phase 2	glutamate receptor antagonist	GRIN2B		
trazodone	Launched	adrenergic receptor antagonist | serotonin receptor antagonist | serotonin reuptake inhibitor	ADRA1A | ADRA2A | HRH1 | HTR1A | HTR2A | HTR2B | HTR2C | SLC6A4	neurology/psychiatry	depression
trebenzomine	Phase 2				
trelagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
tremorine	Preclinical	acetylcholine receptor agonist			
treosulfan	Launched	DNA synthesis inhibitor		oncology	ovarian cancer
trepibutone	Launched	cholinergic receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4	gastroenterology	irritable bowel syndrome
treprostinil	Launched	prostanoid receptor agonist	P2RY12 | PPARD | PTGDR | PTGER2 | PTGIR	pulmonary	pulmonary arterial hypertension (PAH)
trequinsin	Phase 1	phosphodiesterase inhibitor	PDE4A | PDE4B | PDE4C | PDE4D | PDE5A | PTGIR		
tretazicar	Phase 2	DNA replication inhibitor	NQO2		
tretinoin	Launched	retinoid receptor agonist | retinoid receptor ligand	ALDH1A1 | ALDH1A2 | GPRC5A | NR0B1 | NR2C2 | PPARD | RARA | RARB | RARG | RARRES1 | RORB | RORC | RXRB | RXRG	hematologic malignancy	acute promyelocytic leukemia (APL)
triacetin	Launched				
triamcinolone	Launched	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses
triamcinolone acetonide	Launched	"glucocorticoid receptor agonist, immunosuppressant"	NR3C1 | SERPINA6	dermatology	corticosteroid-responsive dermatoses
triamcinolone-acetonide	Launched	glucocorticoid receptor agonist | immunosuppressant	CYP3A5 | CYP3A7 | NR3C1 | SERPINA6	dermatology	corticosteroid-responsive dermatoses
triamcinolone-hexacetonide	Launched	anti-inflammatory agent			
triamterene	Launched	sodium channel blocker	SCNN1A | SCNN1B | SCNN1D | SCNN1G	cardiology | cardiology | endocrinology	edema | hypertension | hypokalemia
triapine	Phase 2	ribonucleotide reductase inhibitor	RRM1 | RRM2		
tribenoside	Launched	anti-inflammatory agent | capillary stabilizing agent			
tribomsalan	Preclinical				
tribromoethanol	Preclinical	analgesic agent			
tributyrin	Phase 1	HDAC inhibitor			
tricaine	Withdrawn	sodium channel blocker	SCN1A	neurology/psychiatry	anesthetic
tricaprylin	Launched			dermatology	cosmetic
trichlormethiazide	Launched	chloride channel blocker	PTGS1 | PTGS2 | SLC12A1	cardiology | cardiology	edema | hypertension
trichloroacetic-acid	Launched			dermatology	warts
trichloroethylene	Preclinical				
trichostatin-a	Phase 1	HDAC inhibitor	HDAC1 | HDAC10 | HDAC2 | HDAC3 | HDAC4 | HDAC5 | HDAC6 | HDAC7 | HDAC8 | HDAC9		
triciribine	Phase 1/Phase 2	AKT inhibitor	AKT1 | AKT2 | AKT3		
triciribine-phosphate	Phase 1/Phase 2	AKT inhibitor	AKT1 | AKT2 | AKT3		
triclabendazole	Launched	microtubule inhibitor	DNMT1	infectious disease	tapeworm
triclocarban	Launched	other antibiotic		infectious disease	first-aid antiseptic
triclosan	Launched	antibacterial agent	DNMT1	infectious disease	first-aid antiseptic
tridihexethyl	Launched	acetylcholine receptor antagonist		gastroenterology | ophthalmology	nystagmus | peptic ulcer disease (PUD)
trientine	Launched	chelating agent	CA14	metabolism	Wilson's disease
trifarotene	Launched	retinoid receptor agonist	RARA | RARB | RARG	dermatology	acne vulgaris (av)
trifloxystrobin	Preclinical	mitochondrial electron transport inhibitor			
trifluoperazine	Launched	dopamine receptor antagonist	ABCG2 | ADRA1A | CALM1 | CALY | CAMK2A | DRD2 | DRD4 | HRH1 | HTR2A | HTR2C | S100A4 | SCN4A | SCN9A | TNNC1	neurology/psychiatry	schizophrenia
triflupromazine	Launched	dopamine receptor antagonist	CHRM1 | CHRM2 | CHRNA7 | DRD1 | DRD2 | HTR2B	gastroenterology | gastroenterology | neurology/psychiatry	nausea | psychosis | vomiting
trifluridine	Launched	DNA directed DNA polymerase inhibitor | thymidylate synthase inhibitor	TYMS	infectious disease	virus herpes simplex (HSV)
triflusal	Launched	cyclooxygenase inhibitor | platelet aggregation inhibitor | thromboxane synthase inhibitor	NFKB1 | NOS2 | PDE10A | PDE4A | PDE4B | PDE4C | PDE4D | PTGS1 | PTGS2	cardiology | cardiology | neurology/psychiatry	atrial fibrillation (AF) | myocardial infarction | stroke
trigonelline	Phase 1				
triheptanoin	Launched	anticonvulsant		cardiology	cardiomyopathy
trihexyphenidyl	Launched	acetylcholine receptor antagonist	CHRM1	neurology/psychiatry	parkinsonism
trihexyphenidyl hydrochloride	Launched	acetylcholine receptor antagonist	CHRM1	neurology/psychiatry	parkinsonism
trilaciclib	Phase 2	CDK inhibitor	CDK4 | CDK6		
trilostane	Launched	3beta-hydroxy-delta5-steroid dehydrogenase inhibitor	ESR1 | ESR2 | HSD3B2 | JUN | NR3C1	endocrinology	Cushing's syndrome
TRIM	Preclinical				
trimebutine	Launched	opioid receptor agonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | OPRD1 | OPRK1 | OPRM1	gastroenterology	irritable bowel syndrome
trimebutine maleate	Launched	opioid receptor agonist	OPRD1 | OPRK1 | OPRM1	gastroenterology	irritable bowel syndrome
trimetaphan camsilate	Withdrawn	acetylcholine receptor antagonist	CHRNA10	cardiology	hypertension
trimetazidine	Launched	3-ketoacyl CoA thiolase inhibitor	ACAA2	cardiology	angina pectoris
trimethadione	Launched	oxazolidine antiepileptic	CACNA1G | CACNA1H | CACNA1I	neurology/psychiatry	seizures
trimethobenzamide	Launched	histamine receptor antagonist	DRD2	gastroenterology | gastroenterology | gastroenterology	gastroenteritis | nausea | vomiting
trimethoprim	Launched	dihydrofolate reductase inhibitor	CYP2C8 | DHFR | SLC22A2 | TYMS	gastroenterology | infectious disease | infectious disease	diarrhea | ear infections | urinary tract infections
trimethoquinol	Launched	adrenergic receptor antagonist	ADRB2 | ADRB3	pulmonary	asthma
trimethylolpropane-triacrylate	Preclinical				
trimetozine	Launched	sedative		neurology/psychiatry	sedative
trimetrexate	Phase 3	dihydrofolate reductase inhibitor	DHFR		
trimipramine	Launched	norepinephrine reputake inhibitor | tricyclic antidepressant	SLC6A2 | SLC6A3 | SLC6A4	neurology/psychiatry	depression
trimipramine maleate	Launched	"norepinephrine reputake inhibitor, tricyclic antidepressant"	SLC6A2 | SLC6A3 | SLC6A4	neurology/psychiatry	depression
trioxsalen	Launched	DNA synthesis inhibitor		dermatology | dermatology	eczema | vitiligo
tripelennamine	Launched	histamine receptor antagonist	HRH1	allergy | allergy | pulmonary	allergic rhinitis | asthma | urticaria
triprolidine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
triptan	Phase 1	serotonin receptor agonist	HTR1B | HTR1D		
triptolide	Phase 3	RNA polymerase inhibitor	CYP2C19 | RELA		
triptorelin	Launched	gonadotropin releasing factor hormone receptor agonist	GNRH1 | GNRHR	endocrinology | endocrinology | obstetrics/gynecology | obstetrics/gynecology | oncology | oncology	breast cancer | endometriosis | gender dysphoria | myoma | precocious puberty | prostate cancer
tro 19622					
troclosene	Launched				
trodusquemine	Phase 1	tyrosine phosphatase inhibitor	PTPN1		
trofinetide	Phase 3	anti-inflammatory agent | cytokine production inhibitor	ATF3 | IFNG | IL6 | TNF		
trofosfamide	Launched	DNA alkylating agent		oncology	medulloblastoma
troglitazone	Withdrawn	insulin sensitizer | PPAR receptor agonist	AKR1B1 | CCL2 | CYP2C8 | CYP3A4 | INS | PPARG | TRPM3		
troleandomycin	Launched	protein synthesis inhibitor | ribosomal protein inhibitor		"infectious disease | infectious disease, pulmonary, otolaryngology | otolaryngology | otolaryngology | pulmonary"	"bronchitis | pneumonia | pneumonia, bronchitis, tonsillitis, sinusitis | sinusitis | tonsillitis"
trolox	Launched	antioxidant			
tromaril	Launched	prostanoid receptor antagonist		ophthalmology	eye inflammation
trometamol	Launched		AMD1 | CANT1 | DCN | NEIL1 | VEGFA		
"tropanyl-3,5-dimethylbenzoate"	Preclinical	serotonin receptor antagonist	HTR3A | HTR3B		
tropesin	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2		
tropicamide	Launched	acetylcholine receptor antagonist	CHRM3 | CHRM4	ophthalmology | ophthalmology	cycloplegia diagnostic | mydriasis diagnostic
tropifexor	Phase 2	FXR agonist	NR1H4		
tropisetron	Launched	serotonin receptor antagonist	GLRA1 | GLRA2 | GLRB | HTR3A | HTR4	gastroenterology | gastroenterology	nausea | vomiting
trospium	Launched	acetylcholine receptor antagonist	CHRM1	urology | urology	urinary frequency | urinary incontinence
trospium chloride	Launched	acetylcholine receptor antagonist	CHRM1	urology	"urinary incontinence, urinary frequency"
trovafloxacin	Withdrawn	bacterial DNA gyrase inhibitor	TOP2A		
troventol	Phase 1				
trovirdine	Phase 1	non-nucleoside reverse transcriptase inhibitor			
troxerutin	Launched	antioxidant			
troxipide	Launched	glucosamine synthetase stimulant		gastroenterology	gastroesophageal reflux disease (GERD)
TRV130	Phase 3	opioid receptor agonist	OPRM1		
tryptanthrin	Preclinical	cyclooxygenase inhibitor	ALOX5 | HGF | IDO1 | PTGS2		
tryptophan	Launched	serotonin receptor partial agonist	CASR | IDO1 | SLC36A1 | WARS | WARS2	gastroenterology | gastroenterology | neurology/psychiatry | neurology/psychiatry | neurology/psychiatry	anxiety | bloating | constipation | fatigue | sleeplessness
TS-011	Preclinical	delayed vasospasm antagonist			
TTNPB	Phase 1	retinoid receptor agonist	RARA | RARB | RARG		
TTP-22	Preclinical	casein kinase inhibitor	CSNK2A1		
TU-2100	Phase 2				
tuaminoheptane	Launched			otolaryngology	nasal congestion
tubastatin-A	Preclinical	HDAC inhibitor	HDAC6		
tubocurarine	Launched	acetylcholine receptor antagonist	ACHE | CHRNA2 | HTR3A | HTR3B | KCNN1 | KCNN2 | KCNN3 | ZACN	neurology/psychiatry	anesthetic
tucatinib	Phase 3	EGFR inhibitor	ERBB2		
tucidinostat	Phase 3	HDAC inhibitor	HDAC1 | HDAC10 | HDAC2 | HDAC3		
tuftsin	Preclinical	macrophage activator			
TUG-770	Preclinical	free fatty acid receptor agonist	FFAR1		
TUG-891	Preclinical	free fatty acid receptor agonist	FFAR4		
tulathromycin	Launched	bacterial 50s ribosomal subunit inhibitor		pulmonary	bovine respiratory disease (brd)
tulobuterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma
tulobuterol hydrochloride	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma
tulrampator	Phase 2	antidepressant	CNIH1 | CNIH2 | CNIH3 | CNIH4		
TW-37	Preclinical	BCL inhibitor	BCL2 | BCL2L1 | MCL1		
TWS-119	Preclinical	glycogen synthase kinase inhibitor	GSK3B | JUN | MYC		
TXA127	Phase 2	angiotensin receptor agonist			
TY-52156	Preclinical	sphingosine 1-phosphate receptor antagonist	S1PR3		
tylosin	Launched	protein synthesis inhibitor		gastroenterology | infectious disease	colitis | gram-positive bacterial infections
tyloxapol					
tylvalosin	Launched	bacterial 50s ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections
tymazoline	Launched			allergy	allergic rhinitis
tyroserleutide	Phase 3	antitumor agent	PIK3CA	oncology	hepatocellular carcinoma (hcc)
tyrphostin-A9	Preclinical	protein tyrosine kinase inhibitor | tyrosine kinase inhibitor			
tyrphostin-AG-1296	Preclinical	FLT3 inhibitor	FLT3		
tyrphostin-AG-1478	Preclinical	EGFR inhibitor	EGFR | MAPK14		
tyrphostin-AG-18	Preclinical	EGFR inhibitor | tyrosine kinase inhibitor	EGFR		
tyrphostin-AG-494	Preclinical	EGFR inhibitor	EGFR		
tyrphostin-AG-825	Preclinical	protein tyrosine kinase inhibitor	ERBB2		
tyrphostin-AG-835	Preclinical	protein tyrosine kinase inhibitor	EGFR		
tyrphostin-AG-879	Preclinical	tyrosine kinase inhibitor	ERBB2 | KDR | NTRK1		
tyrphostin-AG-99	Preclinical	tyrosine kinase inhibitor	EGFR		
U-0124	Preclinical	MEK inhibitor			
U-0126	Preclinical	MEK inhibitor	AKT1 | CHEK1 | GSK3B | JAK2 | LCK | MAP2K1 | MAP2K2 | MAP2K7 | MAPK1 | MAPK11 | MAPK12 | MAPK14 | MAPK8 | PRKCA | RAF1 | ROCK1 | RPS6KB1 | SGK1		
U-0521	Preclinical	catechol O methyltransferase inhibitor	COMT		
U-104	Phase 1/Phase 2	carbonic anhydrase inhibitor	CA1 | CA12 | CA2 | CA9		
U-18666A	Preclinical	oxidosqualene cyclase inhibitor			
U-50488-(-)	Preclinical	opioid receptor agonist	OPRK1		
U-54494A	Preclinical	opioid receptor agonist	OPRK1		
U-75799E	Phase 1	growth hormone releasing factor agonist	GH1 | GHSR		
U-99194	Preclinical	dopamine receptor antagonist	DRD3		
UAMC-00039	Preclinical	dipeptidyl peptidase inhibitor	DPP4 | DPP7		
UB-165	Preclinical	acetylcholine receptor agonist	CHRNA3 | CHRNA4 | CHRNB2		
ubenimex	Launched	leukotriene synthesis inhibitor	ANPEP | LTA4H | RNPEP	hematologic malignancy	acute myeloid leukemia (AML)
UBP-296	Preclinical	glutamate receptor antagonist	GRIK1		
UBP-302	Preclinical	glutamate receptor antagonist	GRIK1		
UBP-310	Preclinical	glutamate receptor antagonist	GRIK1 | GRIK5		
ubrogepant	Launched	calcitonin antagonist	CALCRL	neurology/psychiatry	migraine headache
UC-112	Preclinical	XIAP inhibitor	XIAP		
UCL-2077	Preclinical	slow afterhyperpolarization channel blocker			
udenafil	Launched	phosphodiesterase inhibitor	PDE5A	urology	erectile dysfunction
UF-010	Preclinical	HDAC inhibitor	HDAC1 | HDAC2 | HDAC3 | HDAC8		
ufenamate	Launched	cyclooxygenase inhibitor	PTGS1 | PTGS2	dermatology | dermatology	dermatitis | eczema
UH-232-(+)	Preclinical	dopamine receptor antagonist	DRD2 | DRD3 | DRD4 | HTR1A		
UK-356618	Preclinical	metalloproteinase inhibitor	MMP13 | MMP14 | MMP2 | MMP3 | MMP9		
UK-383367	Phase 1	procollagen C-endopeptidase inhibitor	BMP1		
UK-5099	Preclinical	monocarboxylate transporter inhibitor	SLC16A1		
uki-1	Preclinical	urokinase inhibitor	PLAU		
ulifloxacin	Launched			infectious disease | infectious disease	gram-negative bacterial infections | gram-positive bacterial infections
ulipristal	Launched	progesterone receptor antagonist	PGR	endocrinology	contraceptive
umbralisib	Launched	casein kinase inhibitor	ABL1 | CSNK1E | PIK3CD	hematologic malignancy	non-hodgkin lymphoma (nhl)
umeclidinium	Launched	acetylcholine receptor antagonist	CHRM1 | CHRM2 | CHRM3	pulmonary | pulmonary | pulmonary	bronchitis | chronic obstructive pulmonary disease (COPD) | emphysema
unbs-5162	Phase 1	CC chemokine receptor antagonist			
UNC0224	Preclinical	histone lysine methyltransferase inhibitor	EHMT1 | EHMT2		
UNC0321	Preclinical	histone lysine methyltransferase inhibitor	EHMT2		
UNC0631	Preclinical	histone lysine methyltransferase inhibitor	EHMT2		
UNC0638	Preclinical	histone lysine methyltransferase inhibitor	EHMT1 | EHMT2		
UNC0642	Preclinical	histone lysine methyltransferase inhibitor	EHMT1 | EHMT2		
UNC0646	Preclinical	histone lysine methyltransferase inhibitor	EHMT2		
UNC0737	Preclinical	histone lysine methyltransferase inhibitor	EHMT1 | EHMT2		
UNC1215	Preclinical	L3MBTL antagonist	L3MBTL3		
UNC1999	Preclinical	histone lysine methyltransferase inhibitor	EZH1 | EZH2		
UNC2025	Preclinical	FLT3 inhibitor | MER tyrosine kinase inhibitor	AXL | FLT3 | MERTK | TYRO3		
UNC2250	Preclinical	MER tyrosine kinase inhibitor	MERTK		
UNC2327	Preclinical	protein arginine N-methyltransferase inhibitor	PRMT3		
UNC3230	Preclinical	phosphatidyl-inositol activator	PIP5K1C		
UNC669	Preclinical	L3MBTL antagonist	L3MBTL1 | L3MBTL3		
UNC926	Preclinical	MBT inhibitor	L3MBTL1 | L3MBTL3		
undecylenic-acid	Launched	other antifungal		infectious disease | infectious disease	tinea corporis | tinea pedis
upadacitinib	Launched	JAK inhibitor	JAK1		
upamostat	Phase 2	serine protease inhibitor	PLAU		
UPF-1069	Preclinical	PARP inhibitor	PARP2		
uprifosbuvir	Preclinical	antiviral			
uprosertib	Phase 2	AKT inhibitor	AKT1 | AKT2 | AKT3		
uracil	Launched		DPYD | UCKL1		
uracil-mustard	Launched	DNA synthesis inhibitor		hematologic malignancy	non-Hodgkin lymphoma (NHL)
urapidil	Launched	adrenergic receptor antagonist	HTR1A	cardiology	hypertension
URB597	Phase 1	FAAH inhibitor	FAAH | FAAH2 | TRPA1		
urea	Launched	hydroxy radical formation stimulant	ARG1 | CA2 | CTNNB1	dermatology | dermatology | dermatology | dermatology | dermatology | dermatology	dermatitis | eczema | ichthyosis vulgaris | keratosis | psoriasis | xerosis cutis
urethane	Preclinical	local anesthetic			
uric-acid	Phase 3		PYGL		
uridine	Phase 2	dopamine receptor agonist	LSM6 | TYMP		
uridine-5'-triphosphate	Launched	purinergic receptor activator	P2RY11 | P2RY2 | P2RY4 | P2RY6 | UCK2		
uridine-triacetate	Launched			nephrology	orotic aciduria
URMC-099	Preclinical	mixed lineage kinase inhibitor	CDKL2 | DAPK3 | FLT3 | LRRK2 | MAP3K10 | MAP3K11 | MAP3K2 | MAP3K9 | SRPK2		
urolithin-A	Phase 3	antioxidant			
ursodeoxycholyltaurine	Phase 3	cholesterol inhibitor			
ursodiol	Launched	"nuclear factor erythroid derived, like (NRF2) activator"	AKR1C2 | NFE2L2 | NR1H4	gastroenterology	gallstones
ursolic-acid	Phase 2/Phase 3	ATPase inhibitor | NFkB pathway inhibitor | STAT inhibitor	ACHE | CASP3 | HSD11B1 | PLA2G1B | PTPN1 | PYGM | STS		
usl311	Phase 1/Phase 2	cc chemokine receptor antagonist	CXCR4	oncology	glioblastoma
usniacin-(+)	Preclinical	MAP kinase activator	PTPN1		
V-51	Phase 1	adrenergic receptor antagonist			
vabicaserin hydrochloride	Phase 2	serotonin receptor agonist	HTR2A | HTR2B | HTR2C	neurology/psychiatry	schizophrenia
vaborbactam	Launched	beta lactamase inhibitor	LACTB		
vadadustat	Phase 3	hypoxia inducible factor prolyl hydroxylase inhibitor	EGLN1 | EGLN2 | EGLN3		
valaciclovir	Launched	DNA polymerase inhibitor		infectious disease | infectious disease	shingles | virus herpes simplex (HSV)
valbenazine	Launched	vesicular monoamine transporter inhibitor	SLC18A2	neurology/psychiatry	dyskinesia
valdecoxib	Withdrawn	cyclooxygenase inhibitor	CA12 | CYP2C19 | PTGS2		
valethamate	Launched	acetylcholine receptor antagonist	CHRM1 | CHRM4 | CHRM5	obstetrics/gynecology	labor induction
valganciclovir	Launched	DNA synthesis inhibitor		infectious disease	cytomegalovirus (CMV)
valganciclovir hydrochloride	Launched	dna synthesis inhibitor		infectious disease	cytomegalovirus (cmv)
valnemulin	Launched	bacterial 50S ribosomal subunit inhibitor		gastroenterology | infectious disease | infectious disease	colitis | dysentry | pneumonia
valnemulin hcl	Launched	bacterial 50s ribosomal subunit inhibitor		"infectious disease, gastroenterology"	"dysentry, colitis, pneumonia"
valnivudine	Phase 3	antiviral		infectious disease	varicella-zoster virus (vzv)
valnoctamide	Launched	arachidonic acid acylation inhibitor | benzodiazepine receptor agonist		neurology/psychiatry	sleeplessness
valproic-acid	Launched	benzodiazepine receptor agonist | HDAC inhibitor	ABAT | ACADSB | ALDH5A1 | HDAC1 | HDAC2 | HDAC9 | OGDH | SCN10A | SCN11A | SCN1A | SCN1B | SCN2A | SCN2B | SCN3A | SCN3B | SCN4A | SCN4B | SCN5A | SCN7A | SCN8A | SCN9A	neurology/psychiatry | neurology/psychiatry	epilepsy | seizures
valpromide	Launched	epoxide hydolase inhibitor		neurology/psychiatry	epilepsy
valrocemide	Phase 2				
valrubicin	Launched	DNA inhibitor | topoisomerase inhibitor	TOP2A	oncology	bladder cancer
valsartan	Launched	angiotensin receptor antagonist	AGTR1	cardiology | cardiology	congestive heart failure | hypertension
valspodar	Phase 3	P glycoprotein inhibitor	ABCB1		
